2025-11-26 22:28:35 - step,loss,accuracy
2025-11-26 22:28:40 - 375,2.037231,0.312500
2025-11-26 22:28:40 - 376,1.892944,0.375000
2025-11-26 22:28:40 - 377,1.979858,0.187500
2025-11-26 22:28:40 - 378,1.821899,0.500000
2025-11-26 22:28:40 - 379,2.179443,0.250000
2025-11-26 22:28:40 - 380,1.907227,0.406250
2025-11-26 22:28:40 - 381,1.954468,0.343750
2025-11-26 22:28:40 - 382,1.808228,0.343750
2025-11-26 22:28:40 - 383,1.962646,0.375000
2025-11-26 22:28:40 - 384,1.932617,0.406250
2025-11-26 22:28:40 - 385,2.088867,0.375000
2025-11-26 22:28:40 - 386,1.849243,0.406250
2025-11-26 22:28:40 - 387,1.869995,0.375000
2025-11-26 22:28:40 - 388,1.925293,0.312500
2025-11-26 22:28:40 - 389,1.804688,0.531250
2025-11-26 22:28:40 - 390,1.946411,0.281250
2025-11-26 22:28:40 - 391,1.842529,0.375000
2025-11-26 22:28:40 - 392,2.077637,0.281250
2025-11-26 22:28:40 - 393,1.866455,0.437500
2025-11-26 22:28:40 - 394,1.920776,0.312500
2025-11-26 22:28:40 - 395,1.776123,0.312500
2025-11-26 22:28:40 - 396,1.891602,0.406250
2025-11-26 22:28:40 - 397,1.780029,0.468750
2025-11-26 22:28:40 - 398,1.974243,0.375000
2025-11-26 22:28:40 - 399,2.095215,0.312500
2025-11-26 22:28:40 - 400,1.744141,0.406250
2025-11-26 22:28:41 - 401,1.883789,0.406250
2025-11-26 22:28:41 - 402,1.817017,0.406250
2025-11-26 22:28:41 - 403,1.893066,0.406250
2025-11-26 22:28:41 - 404,1.832397,0.375000
2025-11-26 22:28:41 - 405,1.763184,0.406250
2025-11-26 22:28:41 - 406,1.949829,0.312500
2025-11-26 22:28:41 - 407,1.986328,0.281250
2025-11-26 22:28:41 - 408,1.801636,0.406250
2025-11-26 22:28:41 - 409,1.933228,0.375000
2025-11-26 22:28:41 - 410,1.956421,0.375000
2025-11-26 22:28:41 - 411,1.970581,0.406250
2025-11-26 22:28:41 - 412,1.782715,0.406250
2025-11-26 22:28:41 - 413,1.826416,0.437500
2025-11-26 22:28:41 - 414,1.869019,0.312500
2025-11-26 22:28:41 - 415,1.903564,0.406250
2025-11-26 22:28:41 - 416,1.833984,0.437500
2025-11-26 22:28:41 - 417,1.842163,0.406250
2025-11-26 22:28:41 - 418,1.857788,0.281250
2025-11-26 22:28:41 - 419,1.761475,0.437500
2025-11-26 22:28:41 - 420,2.016846,0.343750
2025-11-26 22:28:41 - 421,1.787231,0.406250
2025-11-26 22:28:41 - 422,1.920410,0.343750
2025-11-26 22:28:41 - 423,1.764160,0.531250
2025-11-26 22:28:41 - 424,1.682983,0.500000
2025-11-26 22:28:41 - 425,1.903809,0.312500
2025-11-26 22:28:41 - 426,1.741577,0.500000
2025-11-26 22:28:41 - 427,1.911621,0.250000
2025-11-26 22:28:41 - 428,1.948608,0.343750
2025-11-26 22:28:41 - 429,1.899902,0.375000
2025-11-26 22:28:41 - 430,1.939209,0.281250
2025-11-26 22:28:41 - 431,1.875610,0.468750
2025-11-26 22:28:41 - 432,1.772827,0.437500
2025-11-26 22:28:41 - 433,1.892334,0.375000
2025-11-26 22:28:41 - 434,1.871948,0.250000
2025-11-26 22:28:41 - 435,1.750366,0.406250
2025-11-26 22:28:41 - 436,1.819702,0.468750
2025-11-26 22:28:41 - 437,1.681885,0.468750
2025-11-26 22:28:41 - 438,1.810303,0.468750
2025-11-26 22:28:41 - 439,1.871460,0.406250
2025-11-26 22:28:41 - 440,1.970459,0.312500
2025-11-26 22:28:41 - 441,1.806274,0.406250
2025-11-26 22:28:41 - 442,1.780212,0.437500
2025-11-26 22:28:41 - 443,1.933228,0.250000
2025-11-26 22:28:41 - 444,1.911499,0.343750
2025-11-26 22:28:41 - 445,1.818726,0.437500
2025-11-26 22:28:41 - 446,1.785889,0.343750
2025-11-26 22:28:41 - 447,1.688354,0.437500
2025-11-26 22:28:41 - 448,1.956299,0.406250
2025-11-26 22:28:41 - 449,1.896606,0.531250
2025-11-26 22:28:41 - 450,1.594238,0.500000
2025-11-26 22:28:41 - 451,1.919067,0.375000
2025-11-26 22:28:41 - 452,1.757690,0.343750
2025-11-26 22:28:41 - 453,1.699158,0.406250
2025-11-26 22:28:41 - 454,1.776001,0.437500
2025-11-26 22:28:41 - 455,1.795654,0.406250
2025-11-26 22:28:41 - 456,1.790649,0.437500
2025-11-26 22:28:41 - 457,1.757324,0.531250
2025-11-26 22:28:41 - 458,1.914429,0.343750
2025-11-26 22:28:41 - 459,1.845825,0.375000
2025-11-26 22:28:41 - 460,1.750732,0.437500
2025-11-26 22:28:41 - 461,1.947388,0.312500
2025-11-26 22:28:41 - 462,1.914551,0.343750
2025-11-26 22:28:41 - 463,1.518433,0.656250
2025-11-26 22:28:41 - 464,1.723022,0.437500
2025-11-26 22:28:41 - 465,1.676636,0.468750
2025-11-26 22:28:41 - 466,1.865112,0.343750
2025-11-26 22:28:41 - 467,2.054810,0.312500
2025-11-26 22:28:41 - 468,1.768005,0.281250
2025-11-26 22:28:41 - 469,1.708374,0.468750
2025-11-26 22:28:41 - 470,1.644409,0.500000
2025-11-26 22:28:41 - 471,1.866333,0.468750
2025-11-26 22:28:41 - 472,1.813354,0.343750
2025-11-26 22:28:41 - 473,1.772339,0.437500
2025-11-26 22:28:41 - 474,1.802490,0.375000
2025-11-26 22:28:41 - 475,1.717773,0.406250
2025-11-26 22:28:41 - 476,1.828979,0.406250
2025-11-26 22:28:41 - 477,1.633301,0.531250
2025-11-26 22:28:41 - 478,1.820190,0.468750
2025-11-26 22:28:41 - 479,1.668701,0.375000
2025-11-26 22:28:41 - 480,1.717041,0.437500
2025-11-26 22:28:41 - 481,1.585144,0.531250
2025-11-26 22:28:41 - 482,1.781738,0.406250
2025-11-26 22:28:41 - 483,1.848145,0.343750
2025-11-26 22:28:41 - 484,1.539429,0.625000
2025-11-26 22:28:41 - 485,1.978271,0.281250
2025-11-26 22:28:41 - 486,1.753784,0.468750
2025-11-26 22:28:41 - 487,1.764282,0.468750
2025-11-26 22:28:41 - 488,1.627441,0.406250
2025-11-26 22:28:41 - 489,1.960938,0.250000
2025-11-26 22:28:41 - 490,1.646606,0.406250
2025-11-26 22:28:41 - 491,1.763062,0.437500
2025-11-26 22:28:41 - 492,1.560303,0.406250
2025-11-26 22:28:41 - 493,1.464294,0.562500
